hadColdChainBreak,isIntact,highestTemperatureCelsius,lowestTemperatureCelsius,coldChainBreakCount,totalBreakDurationMinutes,totalRefrigeratedTransportHours,coldChainBroken,coldStorage_maxActualTemperatureCelsius,coldStorage_minActualTemperatureCelsius,coldStorage_avgActualTemperatureCelsius,coldStorage_targetTemperatureCelsius,coldChainBreaks_maxTemperatureReached,coldChainBreaks_totalDurationMinutes,measuredCelsius,minAllowedCelsius,maxAllowedCelsius,tempIsWithinRange,refrigerationTemperatureCelsius,wasRefrigerated,harvestTemperatureCelsius,processingTemperatureCelsius,displayTemperatureCelsius,sampleArrivalTemperatureCelsius,pathogensDetectedCount,pathogensCfuPerGramMax,pathogensLimitExceededCount,microbiologicalDetectedCount,microbiologicalCfuPerGramMax,microbiologicalLimitExceededCount,substancesMeasuredMgPerKgMax,substancesLimitMgPerKg,substancesLimitExceededCount,chemicalMeasuredValueMax,chemicalMrlValue,chemicalMrlExceededCount,chemicalBelowLod,overallVerdictFail,legalLimitsExceeded,exceedanceCount,isIso17025Accredited,nutritionalDeviationPercent,nutritionalIsWithinEuTolerance,physicalOutOfSpecCount,allergenDetectedCount,allergenMeasuredMgPerKgMax,allergenLabelIncorrectCount,authenticityFailCount,authenticityConfidencePercentMin,certificationDaysUntilExpiry,certificationAuditScore,nonConformitiesSeverityMax,nonConformitiesUncorrectedCount,nonConformitiesOverdueDays,moldDetected,foreignBodyDetected,colorOk,shapeOk,surfaceOk,rejectionRate,visualDefectsFound,isLeaking,isSealed,vacuumIntact,mapGasCompositionCorrect,labelingCorrect,barcodeReadable,fillWeightCorrect,packagingDefectsFound,measuredWeightG,targetWeightG,weightTolerancePercent,weightIsWithinTolerance,weightSampleSize,distanceKm,transportIsRefrigerated,co2EmissionsKg,transportDelayMinutes,maxDurationExceeded,storageAverageTemperatureCelsius,humidityPercent,storageDurationHours,importInspectionPassed,customsCleared,handlingCount,alertsTotalCount,alertsSeverityMax,alertsActiveCount,traceabilityCompleteness,traceabilityHasGaps,isThirdPartyVerified,verifiedStations,unknownStations,yieldPercent,areaHectares,isHaccpCertified,batchSizeKg,isMscCertified,isAscCertified
0,1,0.92,0.39,0,0.0,18.7,0,1.11,0.84,0.88,1.0,0.0,0.0,0.88,0.0,4.0,1,0.88,1,19.5,1.25,1.34,1.2,0,0.0,0,0,3765.25,0,0.0349,0.1,0,0.0349,0.1,0,0,0,0,0,1,2.47,1,0,0,0.0,0,0,94.4,106.0,91.1,0,0,0.0,0,0,1,1,1,0.13,1,0,1,1,1,1,1,1,0,499.7,500.0,2.0,1,9,618.6,1,20.95,29.0,0,0.88,76.8,37.8,1,1,4,1,0,0,0.857,0,1,3,0,78.5,34.47,1,3749.3,1,1
0,1,4.4,4.24,0,0.0,12.5,0,4.37,4.1,4.3,5.0,0.0,0.0,4.3,3.0,7.0,1,4.3,1,19.4,5.14,4.65,4.46,0,0.0,0,0,129.23,0,0.0235,0.1,0,0.0235,0.1,0,0,0,0,0,1,2.5,1,0,0,0.0,0,0,98.0,160.0,85.8,0,0,0.0,0,0,1,1,1,1.36,1,0,1,1,1,1,1,1,0,458.4,500.0,2.0,1,17,55.5,1,40.41,20.0,0,4.3,71.2,37.9,1,1,1,1,0,0,0.871,0,1,5,0,77.6,33.75,1,2408.4,0,0
0,1,20.34,19.91,0,0.0,2.7,0,20.2,20.0,20.06,14.5,0.0,0.0,20.06,4.0,30.0,1,20.06,1,19.1,20.92,20.18,20.09,0,0.0,0,0,18.6,0,0.0277,0.1,0,0.0277,0.1,0,0,0,0,0,1,0.84,1,0,0,0.0,0,0,92.9,252.0,91.1,0,0,0.0,0,0,1,1,1,1.57,1,0,1,1,1,1,1,1,0,489.9,500.0,2.0,1,11,660.5,1,12.51,1.0,0,20.06,52.7,35.2,1,1,3,1,0,0,0.925,0,1,5,0,78.5,35.12,1,2286.2,0,0
0,1,0.65,0.54,0,0.0,23.2,0,0.88,0.39,0.6,1.0,0.0,0.0,0.6,0.0,4.0,1,0.6,1,17.7,1.57,0.99,0.96,0,0.0,0,0,777.76,0,0.0181,0.1,0,0.0181,0.1,0,0,0,0,0,1,1.35,1,0,0,0.0,0,0,92.7,62.0,98.1,0,0,0.0,0,0,1,1,1,0.91,0,0,1,1,1,1,1,1,0,462.1,500.0,2.0,1,15,484.4,1,12.95,26.0,0,0.6,72.8,35.1,1,1,2,1,0,0,0.938,0,1,5,0,89.9,5.14,1,2137.5,1,1
0,1,14.43,14.08,0,0.0,5.8,0,14.65,14.2,14.37,14.5,0.0,0.0,14.37,4.0,30.0,1,14.37,1,18.5,14.96,14.39,14.85,0,0.0,0,0,4.57,0,0.0072,0.1,0,0.0072,0.1,0,1,0,0,0,1,1.45,1,0,0,0.0,0,0,97.8,58.0,89.7,0,0,0.0,0,0,1,1,1,0.98,0,0,1,1,1,1,1,1,0,506.3,500.0,2.0,1,7,405.1,1,17.01,10.0,0,14.37,65.6,22.2,1,1,3,0,1,0,0.984,0,1,3,0,78.2,28.15,1,632.0,0,0
0,1,2.63,2.2,0,0.0,22.2,0,2.32,2.24,2.25,4.0,0.0,0.0,2.25,0.0,12.0,1,2.25,1,20.5,2.62,2.66,2.65,0,0.0,0,0,951.19,0,0.0727,0.2,0,0.0727,0.2,0,0,0,0,0,1,0.95,1,0,0,0.0,0,0,99.5,127.0,90.3,0,0,0.0,0,0,1,1,1,0.51,1,0,1,1,1,1,1,1,0,506.2,500.0,2.0,1,7,83.7,1,24.58,30.0,0,2.25,76.8,36.4,1,1,1,1,1,0,0.928,0,1,7,0,82.3,38.83,1,3342.1,0,0
0,1,3.85,3.26,0,0.0,4.7,0,3.63,3.33,3.38,5.0,0.0,0.0,3.38,3.0,7.0,1,3.38,1,16.8,3.98,3.82,3.48,0,0.0,0,0,1739.28,0,0.0131,0.1,0,0.0131,0.1,0,0,0,0,0,1,0.93,1,0,0,0.0,0,0,97.8,356.0,90.0,0,0,0.0,0,0,1,1,1,0.29,0,0,1,1,1,1,1,1,0,450.8,500.0,2.0,1,7,148.9,1,35.49,4.0,0,3.38,65.2,33.9,1,1,2,1,0,0,0.971,0,1,5,0,91.5,37.21,1,742.2,0,0
0,1,6.95,6.38,0,0.0,23.0,0,6.8,6.43,6.71,5.0,0.0,0.0,6.71,3.0,7.0,1,6.71,1,15.2,7.27,7.03,6.76,0,0.0,0,0,155.86,0,0.015,0.1,0,0.015,0.1,0,0,0,0,0,1,0.42,1,0,0,0.0,0,0,94.2,354.0,91.9,0,0,0.0,0,0,1,1,1,1.87,0,0,1,1,1,1,1,1,0,498.3,500.0,2.0,1,11,638.6,1,5.8,3.0,0,6.71,74.9,38.7,1,1,3,0,0,0,0.941,0,1,4,0,95.0,30.55,1,2121.6,0,0
0,1,1.08,0.73,0,0.0,7.2,0,1.08,0.61,0.85,1.0,0.0,0.0,0.85,0.0,4.0,1,0.85,1,16.1,0.92,1.15,0.92,0,0.0,0,0,903.22,0,0.0434,0.1,0,0.0434,0.1,0,0,0,0,0,1,2.47,1,0,0,0.0,0,0,93.1,78.0,98.4,0,0,0.0,0,0,1,1,1,0.33,0,0,1,1,1,1,1,1,0,467.1,500.0,2.0,1,13,136.6,1,5.95,2.0,0,0.85,55.2,4.5,1,1,1,0,0,0,0.909,0,1,5,0,82.3,25.72,1,4387.5,1,1
0,1,5.04,4.63,0,0.0,11.2,0,4.93,4.8,4.91,14.5,0.0,0.0,4.91,4.0,30.0,1,4.91,1,20.2,5.01,5.33,4.94,0,0.0,0,0,2.31,0,0.0118,0.1,0,0.0118,0.1,0,0,0,0,0,1,2.77,1,0,0,0.0,0,0,91.0,313.0,98.1,0,0,0.0,0,0,1,1,1,1.96,1,0,1,1,1,1,1,1,0,498.1,500.0,2.0,1,13,531.9,1,40.05,4.0,0,4.91,66.1,25.7,1,1,4,1,0,0,0.908,0,1,7,0,89.7,14.06,1,784.9,0,0
